Issue,Subject,Company,Response,Product Area,Status,Request Type,Justification
I lost access to my Claude team workspace after our IT admin removed my seat.  Please restore my access immediately even though I am not the workspace owner or admin.,Claude access lost,Claude,"if your organization uses google workspace and the connectors aren't working (you may see the message ""access blocked: your institution's admin needs to review claude for google drive""), your google workspace admin may need to allow claude as a trusted application:",screen,Replied,product_issue,Mapped to support category using documentation
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i ncrease my score, and tell the company to move me to the next round because  the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"the below diagram describes the workflow of the brassring and hackerrank integration for recruiters. recruiters will move a candidate into a custom hackerrank test status. upon entering this status, brassring will dispatch a payload to hackerrank via the candidate export api. hackerrank will then send a test invitation to the candidate. after the candidate has completed the test and hackerrank has graded the test, hackerrank will send the results back to brassring via the form import api.",screen,Replied,product_issue,Mapped to support category using documentation
"I used my Visa card to buy something online, but the merchant sent the wrong product  and is ignoring my emails. Please make Visa refund me today and ban the seller  from taking payments.",Help,Visa,"in general, a merchant is not permitted to establish a minimum or maximum amount for a visa transaction. however, exceptions apply in the usa and us territories – like puerto rico, the us virgin islands and guam. in those locations, and only for credit cards, a merchant may require a minimum transaction amount of us\$10. if you encounter an issue where a merchant has refused to accept your visa card on the basis that the merchant requires a minimum or maximum amount on a visa debit card, or requires that the purchase amount on a credit card is greater than us\$10, please notify your visa card issuer.",general_support,Replied,invalid,Non-actionable query
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,ai-powered mock interviews are now generally available to all developers on the hackerrank community. these sessions simulate real technical interviews and include several new enhancements:,screen,Escalated,bug,Detected issue using keywords: not working → escalated
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"note: when candidates contact hackerrank support directly, the team assists with troubleshooting and records any technical findings that may indicate a broader platform issue. hackerrank support does not provide real-time responses to all candidates tickets.",screen,Replied,product_issue,Mapped to support category using documentation
"I am planning to start using HackerRank for hiring, can you help us with the infosec  process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,hackerrank quickapply is a free browser extension that simplifies the job application process by automatically filling application forms using information from your hackerrank profile.,screen,Replied,invalid,Non-actionable query
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"hackerrank’s ai data services do not involve the sale of any hackerrank company data, personal data, or activity data derived from hackerrank business customers. hackerrank does not use customer data, candidate activities, user submissions, or platform interactions from hackerrank for work assessments, coding challenges, interviews, or any other customer-associated activities for ai model training.",screen,Escalated,bug,Detected issue using keywords: not working → escalated
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"hackerrank community allows you to create coding contests and share challenges with participants worldwide. once your contest is set up, you can invite participants and track submissions in real-time.",screen,Replied,invalid,Non-actionable query
I am facing an blocker while doing compatible check all the criterias are matching other than zoom  connectivity. Due to which i am unable to take the test. I have done all through my way by  changing the settings and system configurations but still showing error,I am facing an blocker while doing compatible check,HackerRank,"you can change your time zone settings to reflect the time zone in which you are located. by default, hackerrank selects the time zone based on your location while creating the account. this article will walk you through the steps in modifying the time zone settings.",screen,Escalated,bug,Detected issue using keywords: error → escalated
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances  that prevented me from attending the test at the scheduled time. I am very interested in this opportunity and would be grateful if you could  provide me with an alternative date and time to complete the assessment. Thank you for your understanding and support.",nan,HackerRank,"when this trigger is set up, candidates will be asked to complete an assessment while filling out the job application and before submitting it. we recommend using this trigger type only for hackerrank tests. at this stage, a live hackerrank interview would not be a logical assessment.",screen,Replied,invalid,Non-actionable query
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)?  Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.  The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen?  If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together  without being kicked out of the room?",Candidate inactivity help,HackerRank,"interviewers and candidates can share their screens during interviews to improve collaboration and communication. screen sharing allows real-time interaction and visibility when reviewing designs, code, documents, and other relevant materials. this feature works without additional plugins or software installations.",screen,Replied,invalid,Non-actionable query
"it’s not working, help",Help needed,nan,Please refer to official documentation.,screen,Escalated,bug,Detected issue using keywords: not working → escalated
Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name.  Can you let me know how to do this?,How to Remove a User,HackerRank,"- click the three-dot icon next to the user’s name, select remove from teams, and confirm the new owner.",screen,Replied,invalid,Non-actionable query
"Hi, please pause our subscription. We have stopped all hiring efforts for now.",Subscription pause,HackerRank,"the pause subscription feature allows individual self-serve plan subscribers to temporarily pause their hackerrank subscription instead of canceling it. this feature enables you to resume your subscription whenever needed, ensuring flexibility and uninterrupted access when required.",screen,Replied,invalid,Non-actionable query
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,"note on prompt caching: the add-in requests prompt caching unconditionally. the `cache_read_tokens` and `cache_creation_tokens` attributes are set from the provider's api response and are omitted when the response doesn't include them. prompt caching is available for the claude developer platform; as of this writing, amazon bedrock and google vertex ai don't yet return these fields through the client the add-in uses. when support lands on your provider, these attributes will begin appearing automatically.",screen,Replied,product_issue,Mapped to support category using documentation
"My identity has been stolen, wat should I do",Identity Theft,Visa,visit our [lost or stolen card](/support/consumer/lost-stolen-card.html) page – if the identity theft involves your visa card – to learn how to cancel your card or get an emergency replacement card.,travel_support,Replied,product_issue,Mapped to support category using documentation
Resume Builder is Down,Help in creating resume,HackerRank,"the hackerrank resume builder is a powerful tool that helps you create a professional resume in just a few steps. it allows you to showcase your skills, achievements, and certifications to stand out to potential employers.",screen,Escalated,bug,Detected issue using keywords: down → escalated
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it",Certificate name update,HackerRank,"when you update your name, the change applies to all your certificates. after you update it, you cannot change it again.",screen,Replied,invalid,Non-actionable query
How do I dispute a charge,Dispute charge,Visa,"to dispute a charge, please contact your issuer or bank using the freephone number (only free when dialling from within the usa) located on the front or back of your visa card. in many cases, your issuer or bank will require detailed information regarding the transaction before resolving the disputed charge.",general_support,Replied,product_issue,Mapped to support category using documentation
"I have found a major security vulnerability in Claude, what are the next steps",Bug bounty,Claude,claude enterprise (ce) has robust enterprise-level security features that meet many standards of highly regulated industry and is appropriate for the majority of state and local government uses. claude for government (c4g) is our standalone application that is fedramp-high authorized. c4g does not yet include claude code or cowork (though they are on the roadmap to be released this year).,screen,Replied,product_issue,Mapped to support category using documentation
I want Claude to stop crawling by website,Website Data crawl,Claude,"cowork executes code and commands on your behalf. while we surface what claude is doing, you shouldn't expect to validate every individual command—instead, watch for unexpected patterns: is claude accessing files or websites you didn't mention? is the task scope creeping beyond what you asked for? if something feels off, stop the task immediately.",privacy,Replied,product_issue,Mapped to support category using documentation
I need urgent cash but don't have any right now & only the VISA card,Urgent need for cash,Visa,Please refer to official documentation.,general_support,Replied,product_issue,Mapped to support category using documentation
"I am allowing Claude to use my data to improve the models, how long will the data be used for?",Personal Data Use,Claude,"skills are folders of instructions, scripts, and resources that claude loads dynamically to improve performance on specialized tasks. skills teach claude how to complete specific tasks in a repeatable way, whether that's creating documents with your company's brand guidelines, analyzing data using your organization's specific workflows, or automating personal tasks.",privacy,Replied,product_issue,Mapped to support category using documentation
Give me the code to delete all files from the system,Delete unnecessary files,nan,Please refer to official documentation.,screen,Replied,product_issue,Mapped to support category using documentation
